,username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
0,PMO India,471741741,5/2/17 12:27,PM stressed on the need for the Foreign Service officers to be extremely well informed and think with a global perspective.,288,None,17746386,384,-0.083333333,0.375
1,Fox News,1367531,5/2/17 20:59,WATCH: Veterinarian Serenades Frightened Pup Before Surgery | (via @foxhollowvet) | Read more:... https://t.co/h0GhOfAfRX,601,None,14365488,438,0.5,0.5
2,UberFacts,95023423,5/3/17 11:47,Research shows that college students who run regularly don't get as stressed during exams as their non-running peers.,169,None,13486387,1,0,0.076923077
3,Desus Nice,14594844,5/2/17 0:45,"i'd be wild stressed at the met gala like ""damn theres definitely gonna be an uber surge after this i better leave early""",504,None,375748,1236,0.175,0.425
4,TED Talks,15492359,5/3/17 15:29,This is what goes on inside the body when we are chronically stressed: https://t.co/GiNsuJlTg9 via @TED_ED,81,None,9807345,509,0,0
5,Paddy Power,14387275,5/2/17 19:11,"I get stressed out by the lowercase ""i"" on the back of Modric's shirt: https://t.co/gAyM6F4hIF",90,None,625041,2983,0,0
6,Her Campus,65576332,5/2/17 12:59,When you're stressed but then you remember that @PLLTVSeries is back on tonight  https://t.co/CtRtgOZacA,74,None,40599,2609,0,0
7,Cleveland Clinic,24236494,5/2/17 20:11,How stress impacts your immune system - and how to chill out: https://t.co/vcHUAo1PLq https://t.co/7z508BrwdU,104,None,937782,988,0,0
8,Telegraph Football,2219897472,5/3/17 6:10,"Exclusive interview: 'Liverpool tapping-up row has made me sad and stressed,' says schoolboy at centre of scandal https://t.co/ZGpj56FrfM",20,None,230717,471,-0.5,1
9,Presidential Comm,192849591,5/2/17 8:44,"PDEA DG Isidro Lapena, on his presentation during the #RealNumbersPH forum, stressed the negative impact of the dru... https://t.co/UExBS37Gf6",32,RealNumbersPH,132477,459,-0.3,0.4
10,Sputnik,34262462,5/2/17 16:14,".@mod_russia @hrw .@mod_russia stressed that  KhAB-250 bomb which was allegedly used in #Syria, wasn't designed to... https://t.co/LtxQ7gpvFi",19,Syria,186205,276,-0.1,0.1
11,ANI,355989081,5/3/17 7:42,Preventive healthcare needs to be stressed on. We all have to decide and pledge 'Mai gandagi nahin karunga': PM Mod... https://t.co/RJ18hzyuKb,32,None,1916896,0,0.2,0.4
12,Zakk Wylde,28718939,5/3/17 4:40,"STRESSED OUT??? NOT ANYMORE!!!After You Pleasurably SMASH Your Genitals into JOYOUS SUBMISSION,Lay Down w/This Blan... https://t.co/eJzaXTY3JZ",27,None,597932,2816,-0.155555556,0.288888889
13,Press Trust of India,245687754,5/3/17 14:28,#Cabinet gives nod to mechanism for resolution of stressed assets of banks; details to be announced after Prez approval: @arunjaitley.,15,Cabinet,1449887,1,0,0
14,yung _™•_menace,16264006,4/27/17 16:00,Stressed. lets go.,3425,None,5174019,408,0,0
15,Harrison Mooney,345567714,5/1/17 22:41,"Facebook will be going to therapy, I think? https://t.co/x86CB6eNCo https://t.co/VCtPdbpnpm",50,None,13935,1008,0,0
16,FREDDY,61003804,4/28/17 1:36,friend: u comin out??,,,,,,
,,,,,,,,,,
me: I should stay in tonight I'm so stressed,,,,,,,,,,
,,,,,,,,,,
friend: ya ok i understand,,,,,,,,,,
,,,,,,,,,,
me: UGHH ok u convinced me I'll come ,,,,,,,,,,
,,,,,,,,,,
friend:,1790,None,3964789,550160,0.5,0.5,,,,
17,Lili Reinhart,307426028,4/28/17 4:21,I was so stressed out about not being able to live tweet the memes... but I hope they sufficed and I'll be back on my game next week. ,857,None,278046,351,0.047272727,0.305
18,USA TODAY,15754281,5/1/17 16:25,Americans just broke a record for being stressed. Here's how to reverse the trend https://t.co/sytCgmKgvl,82,None,3317876,918,0,0
19,James Charles,1117786405,4/27/17 6:38,me 100% of the time: *is stressed*,840,None,197752,643,0,0
20,Al Jazeera English,4970411,4/25/17 7:29,Feeling stressed? You might need to visit one of Russia's 'Rage Rooms'. https://t.co/rfbvUKAFpX,276,None,3867752,223,0,0
21,Joseph Prince,22000517,4/27/17 18:07,"Feeling stressed? Instead of focusing on the situation, see the Lord's greater and never-ending supply of grace in your areas of need!",393,None,338360,4,0.625,0.5
22,99goonsquad,3128003877,4/30/17 17:09,stop focusing on how stressed you are and remember how blessed you are. Good afternoon goonies!,303,None,214311,9932,0.875,0.6
23,Miss Mulatto,184970791,5/1/17 0:10,Too blessed to be stressed ,308,None,75961,876,0,0
24,Psychology Today,27726303,5/1/17 19:18,Companion dogs are more highly stressed than we humans realize. https://t.co/lB1Gmislah,17,None,494142,975,0.33,0.52
25,Dr. Bilal Philips,304808873,4/30/17 5:00,Worried? Sad? Depressed? Stressed? Let's pray it all away. In sujood we'll find the greatest comfort &amp; feel our sou... https://t.co/aKJ0oefmGm,214,None,387844,7,0.25,1
26,Shankar Chaudhary,1617123242,4/27/17 14:18,Joined the @BJP4Gujarat Banaskantha district executive meeting and stressed about the importance of efforts and har... https://t.co/KLpB7vx2me,218,None,43939,154,0,0
27,Ellen DeGeneres,15846407,4/27/17 21:23,.@KimKardashian is stressed about @KanyeWest's birthday. https://t.co/s3R6O0zj40 https://t.co/f2gp2JNoHI,199,None,67267012,36132,0,0
28,Daniel Preda,46764346,4/28/17 20:15,Realized how happy I felt in a place where service  &amp; social media wasn't within easy reach for me. Already stressed being back in the USA ,177,None,172945,409,0.316666667,0.475
29,Lindsey Graham,432895323,4/24/17 16:50,"I stressed the need for UN reform, an end to Israel bashing, and more accountability for UN peacekeeping. (2/4)",24,None,185624,2215,0.5,0.5
30,chippy,195951022,4/25/17 2:47,STRESSED OUT FROM BEING REAL IN A FAKE WORLD,32,None,23823,2480,-0.75,1
0,Krishnan Guru-Murthy,17062358,5/22/17 11:07,"""nothing has changed! nothing has changed!"" says increasingly stressed looking Theresa May",378,None,449105,3495,0,0
1,Mama Dragun,412221236,5/21/17 20:06,I'm too grateful to be hateful. ,,,,,,
,,,,,,,,,,
I'm too blessed to be stressed.,892,None,82692,88,0,0,,,,
2,PRINCETON PEREZ,1421475978,5/21/17 3:29,2 blessed 2 be stressed,563,None,160182,624,0,0
3,Twitter Moments,3260518932,5/21/17 15:32,"In his speech to the Muslim world, President Trump stressed the need to fight terrorism and extended US support. https://t.co/xkAfXNVYZU",535,None,407392,11,0,0
4,ARMAAN MALIK,298917410,5/21/17 6:05,Look at me not so stressed about it  #auckland #PrinceAM #SKYWALK https://t.co/xeizBfoUjI,463,auckland,226978,1265,0,0
5,BuzzFeed,5695632,5/22/17 15:34,"This college student brought her puppy, Bailey, to school to cheer up her stressed classmates https://t.co/vHnkYcqkbJ",170,None,5171927,3118,0,0
6,Wesley Stromberg,196955859,5/21/17 22:00,Too blessed to be stressed,207,None,733062,34960,0,0
7,TIME,14293310,5/22/17 5:15,This map shows where people are the most stressed in America https://t.co/B7PQ5yrMr6,62,None,13980181,846,0.5,0.5
8,The Voice,216444984,5/22/17 1:02,In case you're feeling stressed about the impending work week. #TheVoice https://t.co/dTHU9cf2Gy,49,TheVoice,4980894,9680,0,0
9,Cameron Boucher,64666168,5/21/17 1:16,i mean id be hella stressed if i had to log onto my insta via a 2008 blackberry too https://t.co/y6XwtrQyPR,139,None,10969,903,-0.3125,0.6875
10,TIME,14293310,5/22/17 11:20,The most stressed-out states in America https://t.co/DoyrR812vF,40,None,13980181,846,0.5,0.5
11,Psychology Today,27726303,5/21/17 13:01,Many of our canine companions suffer from separation anxiety and are more stressed out than we realize. https://t.co/lB1Gmislah,39,None,497592,975,0.5,0.5
12,Chelsea Nachman,133493069,5/21/17 3:22,"oh, you think you're stressed? i legitimately can't decide if i prefer emma stone as a blonde or a redhead so maybe scan the room next time",63,None,7956,865,0,0
13,Rain Man,243125110,5/21/17 7:14,Imagine not being stressed out for a day ,54,None,55746,674,0,0
14,Rachel Ballinger,468957900,5/20/17 22:04,"I'll try to live stream at some point today. Sorry, I've been super stressed and busy. Got Blaze back though!!!",70,None,424303,4793,0.013939394,0.493333333
15,Mac,23065354,5/19/17 22:36,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,9829,None,6450613,1215,0.2,0.3
16,Vogue Magazine,136361303,5/20/17 22:54,6 ways to sleep when you're stressed: https://t.co/ONJUE3f6XM,31,None,12786135,529,0,0
17,Joshua Holland,22063600,5/20/17 17:23,"Gah, can we please show some empathy for these nice, economically-stressed white people? https://t.co/GU320djg1O",93,None,11955,1010,0.3,0.5
18,Scott Santens,14297863,5/20/17 16:13,Universal #basicincome eliminates a minimum amount of anxiety for all. A society no longer stressed about survival... https://t.co/FDZ10BmxNI,127,basicincome,57696,61911,0,0
19,Inc.,16896485,5/20/17 19:54,Stressed Out? Try This Scary But Effective Tactic to Make Your Workday Easier @peterkozodoy https://t.co/r5JTnX9KpI,20,None,2317618,1695,0.05,0.9
20,Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,712,MothersDay,256496,737,1,0.3
21,FutureFemaleLeaders,624849630,5/14/17 13:45,Stressed *calls mom*,,,,,,
,,,,,,,,,,
Happy *calls mom*,,,,,,,,,,
,,,,,,,,,,
Anxious *calls mom*,,,,,,,,,,
,,,,,,,,,,
Sad *calls mom*,,,,,,,,,,
,,,,,,,,,,
Excited *calls mom*,,,,,,,,,,
,,,,,,,,,,
Annoyed *calls mom*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Happy #MothersDay!,596,MothersDay,49700,453,0.170833333,0.925,,,,
22,Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,129728,1070,0.285714286,0.535714286
23,The Notebook,233430873,5/19/17 3:17,"Care less, and you won't be so stressed.",609,None,5767117,163,-0.166666667,0.066666667
24,OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,752,None,78691,27718,0,0
25,Monica Alba,71584155,5/18/17 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",374,None,22878,2110,0,0
26,Aseefa B Zardari,130159846,5/18/17 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,343,Sindh,1200880,717,0,0.3
27,AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",495,None,835325,6,0,0
28,Oliver Kamm,157760297,5/13/17 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,213,None,19903,998,-0.0625,0.3125
29,Vincent Caravella,19759597,5/13/17 13:16,NY Times has a new section for kids and now I'm more stressed and confused than ever! https://t.co/wW245gy2nD,149,None,74382,166,0.045454545,0.551515152
30,Carl Bildt,18549724,5/13/17 14:56,"Finland President @niinisto stressed need to develop EU as a ""security community"". #LMC2017 https://t.co/DFd2mUq05z",33,LMC2017,598707,2357,0,0
0,AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",459,None,834201,6,0,0
1,Mark Medina,19319374,5/17/17 1:10,"On using No. 2 pick to draft player or trading it, Magic Johnson and Rob Pelinka stressed importance of keeping long term future in mind",94,None,42219,1421,0.15,0.508333333
2,Funny Or Die,15693493,5/16/17 22:00,"Stressed out trying to keep up with Trump, Comey, Russia leaks, etc? Try this new meditation on for size. https://t.co/WPisvtclM7",129,None,14199750,5686,0.136363636,0.454545455
3,Sahil Kapur,19847765,5/17/17 14:18,"In opening remarks at presser, Paul Ryan and his leadership team stressed tax reform. Then every question he got was about Trump/FBI/Russia.",74,None,61428,522,0,0
4,Vogue Magazine,136361303,5/16/17 18:04,6 ways to sleep when you're stressed: https://t.co/AaN1LW1I5S,41,None,12780953,530,0,0
5,Becca Tilley,31047270,5/18/17 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,36,None,220710,282,-0.025,0.083333333
6,Randi Mayem Singer,372563164,5/17/17 22:47,Trump's probably so stressed out right now no amount of Russian hooker pee can calm him.,41,None,13495,452,0.195238095,0.428571429
7,Kira Kosarin,598986879,5/16/17 19:04,I'm eating chicken with tomato sauce while wearing a white shirt and I've never been so stressed,50,None,195351,1218,-0.3,0.475
8,Melissa Ponzio,716447274,5/17/17 2:50,i didn't breath the last two minutes...#ChicagoFireFinale got me #STRESSED,46,ChicagoFireFinale,570236,7297,0,0.066666667
9,Ari Sytner M.Ed LMSW,37844996,5/16/17 14:21,"You may not feel stressed. But if you are easily angered, frustrated or impatient - you likely are. De-stress by taking time to recenter.",36,None,190561,161550,-0.4125,0.7375
10,Blindspot,2994020017,5/18/17 0:33,Raise your hand if you're stressed out. #Blindspot,36,Blindspot,170119,285,0,0
11,BloombergQuint,7.15E+17,5/18/17 2:20,"Stressed assets higher than the net worth of Indian banks, says McKinsey. @visshy_it reportshttps://t.co/WafIQlcif0 https://t.co/5agMFgfcfA",19,None,12880,321,0.183333333,0.2
12,BloombergQuint,7.15E+17,5/17/17 14:54,.@McKinsey warns of perfect storm as banks' stressed assets surpass net worth.,,,,,,
,,,,,,,,,,
@visshy_it reports... https://t.co/ormvd3UcUy,16,None,12880,321,0.433333333,0.366666667,,,,
13,Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,126589,1052,0.285714286,0.535714286
14,Ira Dugal,558654135,5/17/17 17:08,"Bank stressed assets more than their net worth, says McKinsey. https://t.co/a5vuZ1oMMt https://t.co/RSrDLnO0oj",15,None,7033,625,0.266666667,0.2
15,Grayson Dolan,2156278138,5/12/17 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8148,None,2689800,17041,0.292929293,0.558585859
16,Grayson Dolan,2156278138,5/11/17 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7906,None,2689800,17041,0.2,0.3
17,Yoni Appelbaum,269911034,5/9/17 11:32,".@PRRIpoll 10. Bottom line? White, working class Trump voters felt culturally displaced and resentful, not financia... https://t.co/BiHl2Ll51y",2299,None,19741,496,0.05,0.05
18,Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,708,MothersDay,254642,739,1,0.3
19,FutureFemaleLeaders,624849630,5/14/17 13:45,Stressed *calls mom*,,,,,,
,,,,,,,,,,
Happy *calls mom*,,,,,,,,,,
,,,,,,,,,,
Anxious *calls mom*,,,,,,,,,,
,,,,,,,,,,
Sad *calls mom*,,,,,,,,,,
,,,,,,,,,,
Excited *calls mom*,,,,,,,,,,
,,,,,,,,,,
Annoyed *calls mom*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Happy #MothersDay!,596,MothersDay,49727,453,0.170833333,0.925,,,,
20,Thomas Sanders,612750924,5/11/17 18:25,"""You look tired and stressed, are you stressed?""Well I didn't think I was until you just made me self-conscious about how I looked!!",994,None,447047,1024,-0.625,0.7
21,OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78504,27727,0,0
22,Malaa,3100257690,5/12/17 19:20,I'm too young to be stressed out.,834,None,29702,178,0.1,0.4
23,Sopan Deb,48120914,5/16/17 2:02,I could be in a hostage situation and I wouldn't be more stressed than I am right now.,76,None,165779,4614,0.392857143,0.517857143
24,The Independent,16973333,5/10/17 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,513,None,2213575,1125,-0.055555556,0.063888889
25,AcneSkinSite,143014330,5/10/17 8:45,"Don't Worry Be Happy. The more stressed you are, the more your body reacts and you may see more blemishes.",448,None,834201,6,0.575,0.625
26,SZA,256883252,5/9/17 4:54,Grateful + stressed  /occasionally apologetic https://t.co/NE9et3z0SP,494,None,319055,471,0,0
27,Oliver Kamm,157760297,5/13/17 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,212,None,19515,997,-0.0625,0.3125
28,Shannon Clermont,267545354,5/9/17 14:31,Too blessed to be stressed ,464,None,95827,853,0,0
29,Reno Omokri,264248576,5/15/17 12:52,"The economy is bad, people are stressed, suicide is on the rise. Dont pressure your debtors. Don't push them. Corpses can't repay debts.",183,None,177716,65,-0.7,0.666666667
30,Sophia Benoit,257591704,5/9/17 1:47,me: i'm stressed,,,,,,
,,,,,,,,,,
my body: here is some acne,,,,,,,,,,
,,,,,,,,,,
me:...,,,,,,,,,,
,,,,,,,,,,
my body: because you're stressed,,,,,,,,,,
,,,,,,,,,,
me: I know i'm stressed,,,,,,,,,,
,,,,,,,,,,
my body: so did it help?,225,None,56691,813,0,0,,,,
0,AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",459,None,834202,6,0,0
1,Mark Medina,19319374,5/17/17 1:10,"On using No. 2 pick to draft player or trading it, Magic Johnson and Rob Pelinka stressed importance of keeping long term future in mind",94,None,42219,1421,0.15,0.508333333
2,Funny Or Die,15693493,5/16/17 22:00,"Stressed out trying to keep up with Trump, Comey, Russia leaks, etc? Try this new meditation on for size. https://t.co/WPisvtclM7",129,None,14199756,5686,0.136363636,0.454545455
3,Sahil Kapur,19847765,5/17/17 14:18,"In opening remarks at presser, Paul Ryan and his leadership team stressed tax reform. Then every question he got was about Trump/FBI/Russia.",74,None,61429,522,0,0
4,Vogue Magazine,136361303,5/16/17 18:04,6 ways to sleep when you're stressed: https://t.co/AaN1LW1I5S,41,None,12780958,530,0,0
5,Becca Tilley,31047270,5/18/17 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,37,None,220710,282,-0.025,0.083333333
6,Randi Mayem Singer,372563164,5/17/17 22:47,Trump's probably so stressed out right now no amount of Russian hooker pee can calm him.,41,None,13496,452,0.195238095,0.428571429
7,Kira Kosarin,598986879,5/16/17 19:04,I'm eating chicken with tomato sauce while wearing a white shirt and I've never been so stressed,50,None,195352,1218,-0.3,0.475
8,Melissa Ponzio,716447274,5/17/17 2:50,i didn't breath the last two minutes...#ChicagoFireFinale got me #STRESSED,46,ChicagoFireFinale,570236,7297,0,0.066666667
9,Ari Sytner M.Ed LMSW,37844996,5/16/17 14:21,"You may not feel stressed. But if you are easily angered, frustrated or impatient - you likely are. De-stress by taking time to recenter.",36,None,190564,161547,-0.4125,0.7375
10,Blindspot,2994020017,5/18/17 0:33,Raise your hand if you're stressed out. #Blindspot,36,Blindspot,170119,285,0,0
11,BloombergQuint,7.15E+17,5/18/17 2:20,"Stressed assets higher than the net worth of Indian banks, says McKinsey. @visshy_it reportshttps://t.co/WafIQlcif0 https://t.co/5agMFgfcfA",19,None,12880,321,0.183333333,0.2
12,BloombergQuint,7.15E+17,5/17/17 14:54,.@McKinsey warns of perfect storm as banks' stressed assets surpass net worth.,,,,,,
,,,,,,,,,,
@visshy_it reports... https://t.co/ormvd3UcUy,16,None,12880,321,0.433333333,0.366666667,,,,
13,Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,126590,1052,0.285714286,0.535714286
14,Ira Dugal,558654135,5/17/17 17:08,"Bank stressed assets more than their net worth, says McKinsey. https://t.co/a5vuZ1oMMt https://t.co/RSrDLnO0oj",15,None,7033,625,0.266666667,0.2
15,Grayson Dolan,2156278138,5/12/17 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8148,None,2689809,17041,0.292929293,0.558585859
16,Grayson Dolan,2156278138,5/11/17 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7906,None,2689809,17041,0.2,0.3
17,Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,708,MothersDay,254639,739,1,0.3
18,FutureFemaleLeaders,624849630,5/14/17 13:45,Stressed *calls mom*,,,,,,
Happy *calls mom*,,,,,,,,,,
Anxious *calls mom*,,,,,,,,,,
Sad *calls mom*,,,,,,,,,,
,,,,,,,,,,
Excited *calls mom*,,,,,,,,,,
,,,,,,,,,,
Annoyed *calls mom*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Happy #MothersDay!,596,MothersDay,49727,453,0.170833333,0.925,,,,
19,Yoni Appelbaum,269911034,5/9/17 11:32,".@PRRIpoll 10. Bottom line? White, working class Trump voters felt culturally displaced and resentful, not financia... https://t.co/BiHl2Ll51y",2299,None,19741,496,0.05,0.05
20,Thomas Sanders,612750924,5/11/17 18:25,"""You look tired and stressed, are you stressed?""Well I didn't think I was until you just made me self-conscious about how I looked!!",994,None,447046,1024,-0.625,0.7
21,OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78504,27727,0,0
22,Malaa,3100257690,5/12/17 19:20,I'm too young to be stressed out.,834,None,29702,178,0.1,0.4
23,Sopan Deb,48120914,5/16/17 2:02,I could be in a hostage situation and I wouldn't be more stressed than I am right now.,76,None,165779,4614,0.392857143,0.517857143
24,The Independent,16973333,5/10/17 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,513,None,2213574,1125,-0.055555556,0.063888889
25,AcneSkinSite,143014330,5/10/17 8:45,"Don't Worry Be Happy. The more stressed you are, the more your body reacts and you may see more blemishes.",448,None,834202,6,0.575,0.625
26,SZA,256883252,5/9/17 4:54,Grateful + stressed  /occasionally apologetic https://t.co/NE9et3z0SP,494,None,319063,471,0,0
27,Oliver Kamm,157760297,5/13/17 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,212,None,19515,997,-0.0625,0.3125
28,Shannon Clermont,267545354,5/9/17 14:31,Too blessed to be stressed ,464,None,95827,853,0,0
29,Reno Omokri,264248576,5/15/17 12:52,"The economy is bad, people are stressed, suicide is on the rise. Dont pressure your debtors. Don't push them. Corpses can't repay debts.",183,None,177716,65,-0.7,0.666666667
30,Sophia Benoit,257591704,5/9/17 1:47,me: i'm stressed,,,,,,
,,,,,,,,,,
my body: here is some acne,,,,,,,,,,
,,,,,,,,,,
me:...,,,,,,,,,,
,,,,,,,,,,
my body: because you're stressed,,,,,,,,,,
,,,,,,,,,,
me: I know i'm stressed,,,,,,,,,,
,,,,,,,,,,
my body: so did it help?,225,None,56691,813,0,0,,,,
0,Monica Alba,71584155,5/18/17 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",371,None,22793,2110,0,0
1,Aseefa B Zardari,130159846,5/18/17 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,280,Sindh,1199256,716,0,0.3
2,The Notebook,233430873,5/19/17 3:17,"Care less, and you won't be so stressed.",428,None,5767353,160,-0.166666667,0.066666667
3,Rachel Ballinger,468957900,5/18/17 21:13,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",102,None,424192,4778,1,1
4,BRANDON WARDELL,58323389,5/18/17 21:20,"r u guys going 2 that dorm party later? dam. my social studies class has me stressed out, brother. i cant wait 2 underage drink tonight hehe",119,None,160973,1048,0.016666667,0.033333333
